Id,CaseId,Title,Description,Category,Order,Points,Flag,RequiredChallengeId,HasVM,DockerImage,VMConnectionInfo,Files,Hints,UnlockContent,CreatedAt
13,5,Acik Bilgisayar,"aW50ZXJuYWxfc2hpcG1lbnRfcGFuZWw= - Base64 coz, B dolabinin kodunu bul.",Forensics,1,100,CTF{LOCKER-B:8742},,0,,,,,"{""reportSection"":{""title"":""ROZET ARKASINDA KOD"",""type"":""evidence"",""content"":""QR etiket cozuldu: LOCKER-B:8742""},""boardNote"":{""title"":""B Dolabi Kodu"",""text"":""Kod: 8742""}}",2026-04-22 00:06:12.5372977
14,5,Gece Vardiyasi Arsivi,"nightshift.zip sifre korumalı. Okan Aksunun acik kaynak bilgileri: kosu kulubu takim no 17, kopek adi Atlas.",OSINT,2,150,CTF{atlas17},13,0,,,,,"{""reportSection"":{""title"":""ARSIV ACILDI"",""type"":""document"",""content"":""Parola: atlas17 (Okan Aksu - takim 17 + kopek Atlas)""},""boardSuspect"":{""name"":""Okan Aksu"",""role"":""Operasyon Muduru"",""motive"":""Arsiv erisimi""}}",2026-04-22 00:06:12.5504638
15,5,Giris Kaydi Analizi,"entry_log.csv: 23:17 oda kilitlendi, 23:21 DZ-8821 rozeti tekrar kullanildi. Kritik tutarsizligi bul.",Forensics,3,200,CTF{23:21_rozet_kullanildi},14,0,,,,,"{""reportSection"":{""title"":""OLUM SONRASI ROZET"",""type"":""evidence"",""content"":""23:17 oda kilitlendi. 23:21 maktulun rozeti tekrar kullanildi.""}}",2026-04-22 00:06:12.5605392
16,5,Kayip Token,Arsiv paneli: o.aksu / roof-17-open. lost_token_ticket.txt - Burak tokenini kaybetmisti.,Web,4,200,CTF{ticket_7741},15,0,,,,,"{""reportSection"":{""title"":""TEKNIK IZ SAPTIRMA"",""type"":""document"",""content"":""Burak tokenini kaybettigini bildirmisti (Ticket 7741). Biri kasitli iz birakti.""}}",2026-04-22 00:06:12.5719456
17,5,Otopark Fisi,garage_ticket.jpg: 06 OA 3_7 plaka 23:26da North Garagea girdi. Park izin kayitlari: Okan Aksu - 06 OA 317.,OSINT,5,200,CTF{06OA317_okan_geri_dondu},16,0,,,,,"{""reportSection"":{""title"":""ALIBI COKTU"",""type"":""suspect"",""content"":""06 OA 317 plaka 23:26da geri dondu. Okan sehir disinda degildi.""}}",2026-04-22 00:06:12.5831874
18,5,Sifreli Son Not,final_note.enc - OpenSSL AES. Parola: otopark fisindeki plaka (bosluksuz).,Crypto,6,250,CTF{06OA317},17,0,,,,,"{""reportSection"":{""title"":""FINAL NOT ACILDI"",""type"":""document"",""content"":""Tum parcalar Okan Aksuda birlesıyor.""}}",2026-04-22 00:06:12.5932772
19,5,23:17den Sonra Geri Donen,Katili tam adiyla girin.,Final,7,750,CTF{Okan_Aksu},18,0,,,,,"{""reportSection"":{""title"":""DAVA KAPATILDI"",""type"":""suspect"",""content"":""Okan Aksu tutuklandı.""}}",2026-04-22 00:06:12.601905
20,6,Kodlanmis Not,aW50ZXJuYWxfc2hpcG1lbnRfcGFuZWw= - Base64 coz.,Crypto,1,100,flag{internal_shipment_panel},,0,,,,,"{""reportSection"":{""title"":""OLAY YERI NOTU"",""type"":""evidence"",""content"":""Cozuldu: internal_shipment_panel. Sirket: Argos Lojistik. Giris: field.agent / case123""},""boardNote"":{""title"":""Argos Portal"",""text"":""field.agent / case123\nIDOR: /api/shipment?id=""}}",2026-04-22 00:06:44.9123722
21,6,Argos Sevkiyat Portali,"Makineyi baslat, web sitesini ac.\nGiris: field.agent / case123\nIDOR: /api/shipment?id= parametresini degistir, id=19 kaydi bul.",Web,2,250,flag{sevkiyat_kaydi_sizdirildi},20,1,argos/portal:latest,,,,"{""reportSection"":{""title"":""SEVKIYAT 19"",""type"":""document"",""content"":""kerem.ates / WH-19 / shadow-ledger moved to archive node""},""boardSuspect"":{""name"":""Kerem Ates"",""role"":""Argos Lojistik"",""motive"":""Yasadisi transfer""}}",2026-04-22 00:06:44.926205
22,6,Arsiv SSH,ssh ops_archive@<IP> / Wh19Archive!\ncat /opt/shadow-ledger/config.json,Network,3,300,flag{ic_servis_bilgisi_bulundu},21,1,argos/ssh-target:latest,,,,"{""reportSection"":{""title"":""SHADOW LEDGER"",""type"":""evidence"",""content"":""API Key: SL-archive-ops-2931\nDashboard: http://172.22.0.20:8080""}}",2026-04-22 00:06:44.9410365
23,6,Shadow Ledger Dashboard,"Makineyi baslat, web sitesini ac.\nSQL Injection: username = admin OR 1=1 --\nFinans kayitlarinda flag var.",Web,4,400,flag{shadow_ledger_cozuldu},22,1,argos/sqli-login:latest,,,,"{""reportSection"":{""title"":""MALI ANALIZ"",""type"":""suspect"",""content"":""K.A. onayli transferler. Harbor Chain / WH19-A. Kostebek: Kerem Ates""}}",2026-04-22 00:06:44.9532755
24,6,Icerdeki Kostebek,"Tum deliller toplandı. Icerdeki kostebek kim? (kucuk harf, alt cizgi)",Final,5,1000,flag{kerem_ates_kostebek},23,0,,,,,"{""reportSection"":{""title"":""OPERASYON KAPATILDI"",""type"":""suspect"",""content"":""Kerem Ates tutuklandı.""}}",2026-04-22 00:06:44.967439
25,7,CEO nun şifresi ne,kağıtta random ifadeler var kriptolu olabilir,OSINT,1,100,CTF{password1234!},,0,,,,,,2026-04-22 00:38:28.5606517
26,8,Masadaki Kagit,"CEOnun masasinda bulunan kagit:

WTZwX3Bhc3NfMjAyNA==

Base64 ile coz. Sonuc CEOnun SSH sifresi.",Crypto,1,100,flag{ceo_pass_d3c0d3d},,0,,,,"[{""Text"":""echo WTZwX3Bhc3NfMjAyNA== | base64 -d"",""PenaltyPercent"":15}]","{""reportSection"":{""title"":""CEO SIFRESI BULUNDU"",""type"":""evidence"",""content"":""Base64 cozuldu: ceo_pass_2024\nSSH: ceo / ceo_pass_2024""},""boardNote"":{""title"":""CEO SSH"",""text"":""Kullanici: ceo\nSifre: ceo_pass_2024""}}",2026-04-22 01:21:18.1393495
27,8,CEOnun Makinesi,"Makineyi baslat.

Nmap ile tara:
nmap -sV <IP>

SSH ile baglan:
ssh ceo@<IP> -p <PORT>
Sifre: ceo_pass_2024

Makinede note.txt ve traffic.pcap dosyalari var.
Flag note.txt icinde.",Network,2,200,flag{ssh_access_granted},26,1,ceo/ssh-target:latest,,,"[{""Text"":""ssh ceo@<IP> -p <PORT> / sifre: ceo_pass_2024"",""PenaltyPercent"":15}]","{""reportSection"":{""title"":""CEO MAKINESINE ERISIM"",""type"":""evidence"",""content"":""CEO makinesine erisim saglandi.\nnote.txt: K.A. bu isin icinde. darknews sitesi.\ntraffic.pcap: Dis site trafigi tespit edildi.""},""boardNote"":{""title"":""DarkNews Sitesi"",""text"":""URL: http://10.10.74.179:32780/\nKullanici: reporter\nSifre: news2024""}}",2026-04-22 01:21:18.8360645
28,8,Trafik Analizi,"CEO makinesindeki traffic.pcap dosyasini analiz et.

strings traffic.pcap | grep -i dark
strings traffic.pcap | grep -i login

Dis site domain ve giris bilgilerini bul.
Flag: bulunan domain adini flag{} icine yaz.",Forensics,3,200,flag{darknews_domain_found},27,0,,,,"[{""Text"":""strings traffic.pcap | grep -i darknews"",""PenaltyPercent"":15}]","{""reportSection"":{""title"":""DIS SITE TRAFIGI"",""type"":""evidence"",""content"":""darknews.local:8080 adresine trafik.\nLogin: reporter / news2024""},""boardNote"":{""title"":""PCAP Bulgulari"",""text"":""darknews.local:8080\nreporter / news2024""}}",2026-04-22 01:21:19.0633254
29,8,Karanlik Haber Sitesi,"Makineyi baslat, web sitesini ac.

Giris: reporter / news2024

IDOR acigi: /api/messages?user_id= parametresini degistir
user_id=1, 2, 3 dene

Admin mesajlarinda suikast plani ve K.A. baglantisi var.
Flag mesajlarin icinde.",Web,4,400,flag{mesajlar_ifsa_edildi},28,1,darknews/site:latest,,,"[{""Text"":""IDOR: /api/messages?user_id=3 dene"",""PenaltyPercent"":20}]","{""reportSection"":{""title"":""SUIKAST PLANI IFSA EDILDI"",""type"":""suspect"",""content"":""K.A. = Kerem Ates. Aile armasi dovmesi. Ofis kamerasi devre disi birakildi.""},""boardSuspect"":{""name"":""Kerem Ates"",""role"":""Sirket Kurucusunun Yegeni"",""motive"":""Sirket kontrolunu ele gecirmek""}}",2026-04-22 01:21:19.2673285
30,8,Tetikci Kim?,"Tum deliller toplandi. Suikasti organize eden kisi kim?
Tam adiyla gir (kucuk harf, alt cizgi).",Final,5,800,flag{kerem_ates_tetikci},29,0,,,,"[{""Text"":""Mesajlarda K.A. = Kerem Ates yaziyor"",""PenaltyPercent"":20}]","{""reportSection"":{""title"":""DAVA KAPATILDI"",""type"":""suspect"",""content"":""Kerem Ates tutuklandi.""}}",2026-04-22 01:21:19.4325869
